Detail              Date/Time          
prince@p.com logged out              Mon Mar 31 20:07:08 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:07:06 IST 2014
prince@p.com deposited Rs. 200              Mon Mar 31 20:06:56 IST 2014
prince@p.com deposited Rs. 200              Mon Mar 31 20:06:21 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:06:17 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:05:57 IST 2014
prince@p.com deposited Rs. 200              Mon Mar 31 20:05:42 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:05:42 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:05:23 IST 2014
prince@p.com logged in              Mon Mar 31 20:05:20 IST 2014
prince@p.com logged in              Mon Mar 31 20:05:19 IST 2014
prince@p.com logged out              Mon Mar 31 18:20:16 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 18:20:01 IST 2014
prince@p.com balance enquiry Rs. 14000              Mon Mar 31 18:19:42 IST 2014
prince@p.com logged in              Mon Mar 31 18:19:38 IST 2014
prince@p.com logged in              Mon Mar 31 18:19:37 IST 2014
prince@p.com balance enquiry Rs. 14000              Mon Mar 31 18:09:31 IST 2014
prince@p.com balance enquiry Rs. 4000              Mon Mar 31 18:09:25 IST 2014
prince@p.com balance enquiry Rs. 4000              Mon Mar 31 18:09:20 IST 2014
prince@p.com balance enquiry Rs. 4000              Mon Mar 31 18:08:51 IST 2014
prince@p.com logged out              Mon Mar 31 18:08:41 IST 2014
prince@p.com balance enquiry Rs. 4000              Mon Mar 31 18:08:33 IST 2014
prince@p.com balance enquiry Rs. 1000              Mon Mar 31 18:08:08 IST 2014
prince@p.com logged in              Mon Mar 31 18:08:05 IST 2014
prince@p.com logged in              Mon Mar 31 18:08:04 IST 2014
prince@p.com registered              Mon Mar 31 18:05:33 IST 2014
p@df.com balance enquiry Rs. 2900              Mon Mar 31 17:56:59 IST 2014
p@df.com balance enquiry Rs. 900              Mon Mar 31 17:56:49 IST 2014
p@df.com deposited Rs. 1000              Mon Mar 31 17:56:48 IST 2014
p@df.com deposited Rs. 1000              Mon Mar 31 17:56:48 IST 2014
dilip@dmk.com balance enquiry Rs. 400              Mon Mar 31 17:55:42 IST 2014
dilip@dmk.com balance enquiry Rs. 0              Mon Mar 31 17:54:26 IST 2014
p@df.com balance enquiry Rs. -100              Mon Mar 31 17:54:17 IST 2014
p@df.com logged in              Mon Mar 31 17:53:46 IST 2014
dilip@dmk.com logged in              Mon Mar 31 17:53:46 IST 2014
p@df.comlogged in              Mon Mar 31 17:29:46 IST 2014
