Detail              Date/Time          
prince@p.com logged out              Mon Mar 31 22:55:11 IST 2014
prince@p.com logged out              Mon Mar 31 22:55:02 IST 2014
prince@p.com balance enquiry Rs. 18800              Mon Mar 31 22:54:54 IST 2014
prince@p.com deposited Rs. 200              Mon Mar 31 22:54:52 IST 2014
prince@p.com deposited Rs. 400              Mon Mar 31 22:54:52 IST 2014
prince@p.com balance enquiry Rs. 18200              Mon Mar 31 22:54:32 IST 2014
prince@p.com balance enquiry Rs. 18200              Mon Mar 31 22:54:16 IST 2014
prince@p.com logged in              Mon Mar 31 22:54:13 IST 2014
prince@p.com logged in              Mon Mar 31 22:54:13 IST 2014
prince@p.com balance enquiry Rs. 18200              Mon Mar 31 20:42:14 IST 2014
prince@p.com balance enquiry Rs. 18200              Mon Mar 31 20:42:11 IST 2014
prince@p.com deposited Rs. 200              Mon Mar 31 20:42:11 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:42:02 IST 2014
prince@p.com logged in              Mon Mar 31 20:41:59 IST 2014
prince@p.com logged in              Mon Mar 31 20:41:58 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:39:57 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:39:25 IST 2014
prince@p.com deposited Rs. 2000              Mon Mar 31 20:39:25 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:39:15 IST 2014
prince@p.com logged in              Mon Mar 31 20:39:02 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:34:45 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:34:33 IST 2014
prince@p.com deposited Rs. 200              Mon Mar 31 20:34:33 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:34:13 IST 2014
prince@p.com logged in              Mon Mar 31 20:34:08 IST 2014
prince@p.com balance enquiry Rs. 18000              Mon Mar 31 20:29:21 IST 2014
prince@p.com withdrawn Rs. 600              Mon Mar 31 20:29:20 IST 2014
